player_name,tourneyName,round,activeHole,total_gross,toPar_gross,courseName,teetype,PAR,rating,slope,new_total_gross
abaibaii,Week 7,1,19,94,22,Northern Twin Cities Golf Course,White,72,69.2,136,94
abaibaii,Week 8,1,19,86,14,Georgia Golf Club,White,72,70.7,128,86
adt_jacks,Week 7,1,19,70,-2,Northern Twin Cities Golf Course,White,72,69.2,136,70
adt_jacks,Week 8,1,19,86,14,Georgia Golf Club,White,72,70.7,128,86
alecwegge,Week 7,1,19,77,5,Northern Twin Cities Golf Course,White,72,69.2,136,77
alecwegge,Week 8,1,19,90,18,Georgia Golf Club,White,72,70.7,128,90
allenarnoldy,Week 7,1,19,95,23,Northern Twin Cities Golf Course,White,72,69.2,136,95
bpelton21,Week 7,1,19,88,16,Northern Twin Cities Golf Course,White,72,69.2,136,88
Chaekenkamp,Week 7,1,19,74,2,Northern Twin Cities Golf Course,White,72,69.2,136,74
Chaekenkamp,Week 8,1,19,81,9,Georgia Golf Club,White,72,70.7,128,81
CM23,Week 7,1,19,83,11,Northern Twin Cities Golf Course,White,72,69.2,136,83
CM23,Week 8,1,19,93,21,Georgia Golf Club,White,72,70.7,128,93
DiaperDan,Week 7,1,19,87,15,Northern Twin Cities Golf Course,White,72,69.2,136,87
DrasGolf,Week 7,1,19,69,-3,Northern Twin Cities Golf Course,White,72,69.2,136,69
dvanorny,Week 7,1,19,78,6,Northern Twin Cities Golf Course,White,72,69.2,136,78
dvanorny,Week 8,1,19,88,16,Georgia Golf Club,White,72,70.7,128,88
evansj5,Week 7,1,19,69,-3,Northern Twin Cities Golf Course,White,72,69.2,136,69
evansj5,Week 8,1,19,88,16,Georgia Golf Club,White,72,70.7,128,88
FullThrottle,Week 7,1,19,78,6,Northern Twin Cities Golf Course,White,72,69.2,136,78
FullThrottle,Week 8,1,19,85,13,Georgia Golf Club,White,72,70.7,128,85
golfminnesota,Week 8,1,19,88,16,Georgia Golf Club,White,72,70.7,128,88
golfminnesota,Week 7,1,19,87,15,Northern Twin Cities Golf Course,White,72,69.2,136,87
Krussell,Week 8,1,19,97,25,Georgia Golf Club,White,72,70.7,128,97
Krussell,Week 7,1,19,92,20,Northern Twin Cities Golf Course,White,72,69.2,136,92
larbjo,Week 8,1,19,77,5,Georgia Golf Club,White,72,70.7,128,77
larbjo,Week 7,1,19,76,4,Northern Twin Cities Golf Course,White,72,69.2,136,76
Macdo147,Week 7,1,19,79,7,Northern Twin Cities Golf Course,White,72,69.2,136,79
Macdo147,Week 8,1,19,80,8,Georgia Golf Club,White,72,70.7,128,80
masdsavage,Week 7,1,19,82,10,Northern Twin Cities Golf Course,White,72,69.2,136,82
mfore23,Week 8,1,19,83,11,Georgia Golf Club,White,72,70.7,128,83
MMackbee,Week 8,1,19,69,-3,Georgia Golf Club,White,72,70.7,128,69
MMackbee,Week 7,1,19,65,-7,Northern Twin Cities Golf Course,White,72,69.2,136,65
Noskie,Week 8,1,19,74,2,Georgia Golf Club,White,72,70.7,128,74
Noskie,Week 7,1,19,71,-1,Northern Twin Cities Golf Course,White,72,69.2,136,71
obi213,Week 7,1,19,81,9,Northern Twin Cities Golf Course,White,72,69.2,136,81
oneofone,Week 7,1,19,76,4,Northern Twin Cities Golf Course,White,72,69.2,136,76
oneofone,Week 8,1,19,92,20,Georgia Golf Club,White,72,70.7,128,92
pdougla002,Week 7,1,19,79,7,Northern Twin Cities Golf Course,White,72,69.2,136,79
rothin8or,Week 7,1,19,84,12,Northern Twin Cities Golf Course,White,72,69.2,136,84
thewhisqur,Week 7,1,19,75,3,Northern Twin Cities Golf Course,White,72,69.2,136,75
TimCorlett,Week 8,1,19,93,21,Georgia Golf Club,White,72,70.7,128,93
Tmunz06,Week 7,1,19,84,12,Northern Twin Cities Golf Course,White,72,69.2,136,84
travishunt23,Week 8,1,19,89,17,Georgia Golf Club,White,72,70.7,128,89
travishunt23,Week 7,1,19,87,15,Northern Twin Cities Golf Course,White,72,69.2,136,87
zelbro,Week 7,1,19,110,38,Northern Twin Cities Golf Course,White,72,69.2,136,110
zelbro,Week 8,1,19,101,29,Georgia Golf Club,White,72,70.7,128,101
abaibaii,WEEK 6,1,19,86,14,Pinehurst 2,White,72,70.7,126,86
adt_jacks,WEEK 6,1,19,83,11,Pinehurst 2,White,72,70.7,126,83
alecwegge,WEEK 6,1,19,84,12,Pinehurst 2,White,72,70.7,126,84
allenarnoldy,WEEK 6,1,19,83,11,Pinehurst 2,White,72,70.7,126,83
BigBird,WEEK 6,1,19,83,11,Pinehurst 2,White,72,70.7,126,83
bpelton21,WEEK 6,1,19,93,21,Pinehurst 2,White,72,70.7,126,93
BrianEggen,WEEK 6,1,19,85,13,Pinehurst 2,White,72,70.7,126,85
Chaekenkamp,WEEK 6,1,19,79,7,Pinehurst 2,White,72,70.7,126,79
CM23,WEEK 6,1,19,94,22,Pinehurst 2,White,72,70.7,126,94
DiaperDan,WEEK 6,1,19,88,16,Pinehurst 2,White,72,70.7,126,88
DrasGolf,WEEK 6,1,19,78,6,Pinehurst 2,White,72,70.7,126,78
dvanorny,WEEK 6,1,19,88,16,Pinehurst 2,White,72,70.7,126,88
evansj5,WEEK 6,1,19,72,0,Pinehurst 2,White,72,70.7,126,72
FullThrottle,WEEK 6,1,19,70,-2,Pinehurst 2,White,72,70.7,126,70
golfminnesota,WEEK 6,1,19,81,9,Pinehurst 2,White,72,70.7,126,81
JasonLaskowski,WEEK 6,1,12,70,25,Pinehurst 2,White,45,70.7,126,70
kristazio,WEEK 6,1,19,79,7,Pinehurst 2,White,72,70.7,126,79
Krussell,WEEK 6,1,19,77,5,Pinehurst 2,White,72,70.7,126,77
larbjo,WEEK 6,1,19,90,18,Pinehurst 2,White,72,70.7,126,90
Loafology,WEEK 6,1,19,96,24,Pinehurst 2,White,72,70.7,126,96
Macdo147,WEEK 6,1,19,81,9,Pinehurst 2,White,72,70.7,126,81
masdsavage,WEEK 6,1,19,78,6,Pinehurst 2,White,72,70.7,126,78
matthewgunn222,WEEK 6,1,19,97,25,Pinehurst 2,White,72,70.7,126,97
mfore23,WEEK 6,1,19,75,3,Pinehurst 2,White,72,70.7,126,75
MMackbee,WEEK 6,1,19,74,2,Pinehurst 2,White,72,70.7,126,74
Noskie,WEEK 6,1,19,77,5,Pinehurst 2,White,72,70.7,126,77
obi213,WEEK 6,1,19,83,11,Pinehurst 2,White,72,70.7,126,83
oneofone,WEEK 6,1,19,89,17,Pinehurst 2,White,72,70.7,126,89
pdougla002,WEEK 6,1,19,87,15,Pinehurst 2,White,72,70.7,126,87
rothin8or,WEEK 6,1,19,78,6,Pinehurst 2,White,72,70.7,126,78
thewhisqur,WEEK 6,1,19,72,0,Pinehurst 2,White,72,70.7,126,72
TimCorlett,WEEK 6,1,19,78,6,Pinehurst 2,White,72,70.7,126,78
travishunt23,WEEK 6,1,19,95,23,Pinehurst 2,White,72,70.7,126,95
zelbro,WEEK 6,1,19,113,41,Pinehurst 2,White,72,70.7,126,113
15PaulRoby,WEEK 3,1,19,105,33,Valhalla,White,72,70.8,137,105
